id,admin_level,admin_name,area_id,common_id,,dimension_id,dimension_name,F/M,Unit,year,value,colnames
1,country,Vietnam,250,4,Labor Force,7,Labour force Index,female,number,1990,0.72383,LFI_F
2,country,Thailand,228,4,Labor Force,7,Labour force Index,female,number,1990,0.66432,LFI_F
3,country,Myanmar,154,4,Labor Force,7,Labour force Index,female,number,1990,0.61681,LFI_F
4,country,Laos,123,4,Labor Force,7,Labour force Index,female,number,1990,0.79938,LFI_F
5,country,Cambodia,40,4,Labor Force,7,Labour force Index,female,number,1990,0.75958,LFI_F
6,country,Vietnam,250,4,Labor Force,8,Labour force Index,male,number,1990,0.81332,LFI_M
7,country,Thailand,228,4,Labor Force,8,Labour force Index,male,number,1990,0.84358,LFI_M
8,country,Myanmar,154,4,Labor Force,8,Labour force Index,male,number,1990,0.85785,LFI_M
9,country,Laos,123,4,Labor Force,8,Labour force Index,male,number,1990,0.8242,LFI_M
10,country,Cambodia,40,4,Labor Force,8,Labour force Index,male,number,1990,0.82441,LFI_M
11,country,Myanmar,154,2,Reproductive health,3,Reproductive health index,female,number,1990,0.02146694,RHI_F
12,country,Laos,123,2,Reproductive health,3,Reproductive health index,female,number,1990,0.01042499,RHI_F
13,country,Thailand,228,2,Reproductive health,3,Reproductive health index,female,number,1990,0.07030548,RHI_F
14,country,Vietnam,250,2,Reproductive health,3,Reproductive health index,female,number,1990,0.05682824,RHI_F
15,country,Cambodia,40,2,Reproductive health,3,Reproductive health index,female,number,1990,0.01136319,RHI_F
16,country,Laos,123,2,Reproductive health,4,Reproductive health index,male,number,1990,1,RHI_M
17,country,Myanmar,154,2,Reproductive health,4,Reproductive health index,male,number,1990,1,RHI_M
18,country,Thailand,228,2,Reproductive health,4,Reproductive health index,male,number,1990,1,RHI_M
19,country,Vietnam,250,2,Reproductive health,4,Reproductive health index,male,number,1990,1,RHI_M
20,country,Cambodia,40,2,Reproductive health,4,Reproductive health index,male,number,1990,1,RHI_M
21,country,Vietnam,250,1,Empowerment,1,Empowerment index,female,number,1995,0.21947623,EI_F
22,country,Cambodia,40,1,Empowerment,1,Empowerment index,female,number,1995,0.05575831,EI_F
23,country,Thailand,228,1,Empowerment,1,Empowerment index,female,number,1995,0.09459923,EI_F
