admin_level,area_id,common_id,common_name,indicator_id,id,indicator_name,F/M,Unit,year,value
province,59,2,Reproductive health,1,1,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,59,2,Reproductive health,1,2,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,59,2,Reproductive health,1,3,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,60,2,Reproductive health,1,4,Adolescent birth rate for women aged 15-19,female,percent,2019,21
province,60,2,Reproductive health,1,5,Adolescent birth rate for women aged 15-19,female,percent,2015,41
province,60,2,Reproductive health,1,6,Adolescent birth rate for women aged 15-19,female,percent,2010,60
province,26,2,Reproductive health,1,7,Adolescent birth rate for women aged 15-19,female,percent,2019,84
province,26,2,Reproductive health,1,8,Adolescent birth rate for women aged 15-19,female,percent,2015,107
province,104,2,Reproductive health,1,9,Adolescent birth rate for women aged 15-19,female,percent,2019,21
province,104,2,Reproductive health,1,10,Adolescent birth rate for women aged 15-19,female,percent,2015,41
province,104,2,Reproductive health,1,11,Adolescent birth rate for women aged 15-19,female,percent,2010,60
province,27,2,Reproductive health,1,12,Adolescent birth rate for women aged 15-19,female,percent,2015,149
province,27,2,Reproductive health,1,13,Adolescent birth rate for women aged 15-19,female,percent,2019,113
province,28,2,Reproductive health,1,14,Adolescent birth rate for women aged 15-19,female,percent,2019,85
province,28,2,Reproductive health,1,15,Adolescent birth rate for women aged 15-19,female,percent,2015,79
province,62,2,Reproductive health,1,16,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,62,2,Reproductive health,1,17,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,62,2,Reproductive health,1,18,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,63,2,Reproductive health,1,19,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,63,2,Reproductive health,1,20,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,63,2,Reproductive health,1,21,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,64,2,Reproductive health,1,22,Adolescent birth rate for women aged 15-19,female,percent,2010,60
province,64,2,Reproductive health,1,23,Adolescent birth rate for women aged 15-19,female,percent,2015,41
province,64,2,Reproductive health,1,24,Adolescent birth rate for women aged 15-19,female,percent,2019,21
province,65,2,Reproductive health,1,25,Adolescent birth rate for women aged 15-19,female,percent,2010,60
province,65,2,Reproductive health,1,26,Adolescent birth rate for women aged 15-19,female,percent,2015,41
province,65,2,Reproductive health,1,27,Adolescent birth rate for women aged 15-19,female,percent,2019,21
province,66,2,Reproductive health,1,28,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,66,2,Reproductive health,1,29,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,66,2,Reproductive health,1,30,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,29,2,Reproductive health,1,31,Adolescent birth rate for women aged 15-19,female,percent,2019,53
province,29,2,Reproductive health,1,32,Adolescent birth rate for women aged 15-19,female,percent,2015,70
province,68,2,Reproductive health,1,33,Adolescent birth rate for women aged 15-19,female,percent,2010,47
province,68,2,Reproductive health,1,34,Adolescent birth rate for women aged 15-19,female,percent,2015,72
province,68,2,Reproductive health,1,35,Adolescent birth rate for women aged 15-19,female,percent,2019,42
province,69,2,Reproductive health,1,36,Adolescent birth rate for women aged 15-19,female,percent,2019,42
province,69,2,Reproductive health,1,37,Adolescent birth rate for women aged 15-19,female,percent,2010,47
province,69,2,Reproductive health,1,38,Adolescent birth rate for women aged 15-19,female,percent,2015,72
province,70,2,Reproductive health,1,39,Adolescent birth rate for women aged 15-19,female,percent,2010,60
province,70,2,Reproductive health,1,40,Adolescent birth rate for women aged 15-19,female,percent,2015,41
province,70,2,Reproductive health,1,41,Adolescent birth rate for women aged 15-19,female,percent,2019,21
province,71,2,Reproductive health,1,42,Adolescent birth rate for women aged 15-19,female,percent,2019,35
province,71,2,Reproductive health,1,43,Adolescent birth rate for women aged 15-19,female,percent,2015,58
province,71,2,Reproductive health,1,44,Adolescent birth rate for women aged 15-19,female,percent,2010,53
province,30,2,Reproductive health,1,45,Adolescent birth rate for women aged 15-19,female,percent,2019,136
province,30,2,Reproductive health,1,46,Adolescent birth rate for women aged 15-19,female,percent,2015,137
province,72,2,Reproductive health,1,47,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,72,2,Reproductive health,1,48,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,72,2,Reproductive health,1,49,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,73,2,Reproductive health,1,50,Adolescent birth rate for women aged 15-19,female,percent,2015,72
province,73,2,Reproductive health,1,51,Adolescent birth rate for women aged 15-19,female,percent,2019,42
province,73,2,Reproductive health,1,52,Adolescent birth rate for women aged 15-19,female,percent,2010,47
province,74,2,Reproductive health,1,53,Adolescent birth rate for women aged 15-19,female,percent,2010,60
province,74,2,Reproductive health,1,54,Adolescent birth rate for women aged 15-19,female,percent,2019,21
province,74,2,Reproductive health,1,55,Adolescent birth rate for women aged 15-19,female,percent,2015,41
province,31,2,Reproductive health,1,56,Adolescent birth rate for women aged 15-19,female,percent,2015,108
province,31,2,Reproductive health,1,57,Adolescent birth rate for women aged 15-19,female,percent,2015,108
province,31,2,Reproductive health,1,58,Adolescent birth rate for women aged 15-19,female,percent,2019,71
province,31,2,Reproductive health,1,59,Adolescent birth rate for women aged 15-19,female,percent,2019,71
province,75,2,Reproductive health,1,60,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,75,2,Reproductive health,1,61,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,75,2,Reproductive health,1,62,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,76,2,Reproductive health,1,63,Adolescent birth rate for women aged 15-19,female,percent,2015,58
province,76,2,Reproductive health,1,64,Adolescent birth rate for women aged 15-19,female,percent,2010,53
province,76,2,Reproductive health,1,65,Adolescent birth rate for women aged 15-19,female,percent,2019,35
province,77,2,Reproductive health,1,66,Adolescent birth rate for women aged 15-19,female,percent,2010,47
province,77,2,Reproductive health,1,67,Adolescent birth rate for women aged 15-19,female,percent,2019,42
province,77,2,Reproductive health,1,68,Adolescent birth rate for women aged 15-19,female,percent,2015,72
province,78,2,Reproductive health,1,69,Adolescent birth rate for women aged 15-19,female,percent,2010,47
province,78,2,Reproductive health,1,70,Adolescent birth rate for women aged 15-19,female,percent,2015,72
province,78,2,Reproductive health,1,71,Adolescent birth rate for women aged 15-19,female,percent,2019,42
province,79,2,Reproductive health,1,72,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,79,2,Reproductive health,1,73,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,79,2,Reproductive health,1,74,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,33,2,Reproductive health,1,75,Adolescent birth rate for women aged 15-19,female,percent,2015,95
province,33,2,Reproductive health,1,76,Adolescent birth rate for women aged 15-19,female,percent,2019,105
province,32,2,Reproductive health,1,77,Adolescent birth rate for women aged 15-19,female,percent,2019,121
province,32,2,Reproductive health,1,78,Adolescent birth rate for women aged 15-19,female,percent,2015,124
province,81,2,Reproductive health,1,79,Adolescent birth rate for women aged 15-19,female,percent,2015,72
province,81,2,Reproductive health,1,80,Adolescent birth rate for women aged 15-19,female,percent,2010,47
province,81,2,Reproductive health,1,81,Adolescent birth rate for women aged 15-19,female,percent,2019,42
province,82,2,Reproductive health,1,82,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,82,2,Reproductive health,1,83,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,82,2,Reproductive health,1,84,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,83,2,Reproductive health,1,85,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,83,2,Reproductive health,1,86,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,83,2,Reproductive health,1,87,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,85,2,Reproductive health,1,88,Adolescent birth rate for women aged 15-19,female,percent,2010,60
province,85,2,Reproductive health,1,89,Adolescent birth rate for women aged 15-19,female,percent,2019,21
province,85,2,Reproductive health,1,90,Adolescent birth rate for women aged 15-19,female,percent,2015,41
province,86,2,Reproductive health,1,91,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,86,2,Reproductive health,1,92,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,86,2,Reproductive health,1,93,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,87,2,Reproductive health,1,94,Adolescent birth rate for women aged 15-19,female,percent,2010,73
province,87,2,Reproductive health,1,95,Adolescent birth rate for women aged 15-19,female,percent,2015,47
province,87,2,Reproductive health,1,96,Adolescent birth rate for women aged 15-19,female,percent,2019,20
province,88,2,Reproductive health,1,97,Adolescent birth rate for women aged 15-19,female,percent,2010,47
province,88,2,Reproductive health,1,98,Adolescent birth rate for women aged 15-19,female,percent,2015,72
province,88,2,Reproductive health,1,99,Adolescent birth rate for women aged 15-19,female,percent,2019,42
province,89,2,Reproductive health,1,100,Adolescent birth rate for women aged 15-19,female,percent,2019,35
province,89,2,Reproductive health,1,101,Adolescent birth rate for women aged 15-19,female,percent,2015,58
province,89,2,Reproductive health,1,102,Adolescent birth rate for women aged 15-19,female,percent,2010,53
province,90,2,Reproductive health,1,103,Adolescent birth rate for women aged 15-19,female,percent,2015,72
province,90,2,Reproductive health,1,104,Adolescent birth rate for women aged 15-19,female,percent,2010,47
